surname,team,position,minutes,shots,passes,tackles,saves,number of passes per minute played,,,,,Which team has the highest average number of passes per minute played,
Estrada,Chile,midfielder,37,1,16,2,0,0.43,,,,,,
Mueller,Germany,forward,383,7,165,9,0,0.43,,,,,,
Feilhaber,USA,midfielder,165,3,71,5,0,0.43,,,,,,
Assou-Ekotto,Cameroon,defender,270,0,116,5,0,0.43,,,,,,
Santa Cruz,Paraguay,forward,312,6,134,1,0,0.43,,,,,,
Christie,New Zealand,midfielder,21,0,9,1,0,0.43,,,,,,
Kim Kum-Il,North Korea,forward,42,0,18,0,0,0.43,,,,,,
Haruna,Nigeria,midfielder,180,1,77,3,0,0.43,,,,,,
Parker,South Africa,forward,75,1,32,2,0,0.43,,,,,,
Ivanovic,Serbia,defender,270,3,115,2,0,0.43,,,,,,
Pak Nam-Chol,North Korea,midfielder,238,1,101,7,0,0.42,,,,,,
Donovan,USA,forward,390,7,165,9,0,0.42,,,,,,
Mauricio Sabilluen,Honduras,defender,90,0,38,5,0,0.42,,,,,,
Fabio Coentrao,Portugal,defender,360,1,152,13,0,0.42,,,,,,
Thwala,South Africa,defender,45,0,19,2,0,0.42,,,,,,
Morel Rodriguez,Paraguay,defender,480,1,202,7,0,0.42,,,,,,
Ponce,Chile,defender,270,2,113,4,0,0.42,,,,,,
Di Maria,Argentina,midfielder,356,7,148,12,0,0.42,,,,,,
Enoh,Cameroon,midfielder,135,2,56,8,0,0.41,,,,,,
Kaka,Brazil,midfielder,337,6,139,2,0,0.41,,,,,,
Crouch,England,forward,17,1,7,0,0,0.41,,,,,,
Abou Diaby,France,midfielder,270,1,111,5,0,0.41,,,,,,
Etuhu,Nigeria,midfielder,270,0,111,5,0,0.41,,,,,,
Ferreira,Portugal,defender,90,0,37,1,0,0.41,,,,,,
Valdivia,Chile,forward,222,3,91,3,0,0.41,,,,,,
Lee Chung-Yong,South Korea,midfielder,359,7,147,12,0,0.41,,,,,,
Cacau,Germany,forward,132,4,54,1,0,0.41,,,,,,
Turcios,Honduras,midfielder,66,0,27,0,0,0.41,,,,,,
Podolski,Germany,forward,531,17,217,9,0,0.41,,,,,,
Elano,Brazil,midfielder,140,5,57,6,0,0.41,,,,,,
Onyewu,USA,defender,170,1,69,2,0,0.41,,,,,,
Jokic,Slovenia,defender,270,0,109,10,0,0.40,,,,,,
Grella,Australia,midfielder,45,0,18,2,0,0.40,,,,,,
Gourcuff,France,midfielder,100,3,40,3,0,0.40,,,,,,
Nam Song-Chol,North Korea,defender,15,0,6,0,0,0.40,,,,,,
Beasley,USA,midfielder,10,0,4,0,0,0.40,,,,,,
Hamsik,Slovakia,midfielder,358,5,143,3,0,0.40,,,,,,
Kadir,Algeria,midfielder,262,0,104,3,0,0.40,,,,,,
Odiah,Nigeria,defender,270,0,107,5,0,0.40,,,,,,
Hong Yong-Jo,North Korea,forward,270,4,107,3,0,0.40,,,,,,
Henry,France,forward,53,1,21,2,0,0.40,,,,,,
Barrera,Mexico,midfielder,149,4,59,2,0,0.40,,,,,,
Ashley Cole,England,defender,360,0,142,12,0,0.39,,,,,,
Stoch,Slovakia,midfielder,193,2,76,1,0,0.39,,,,,,
Kucka,Slovakia,midfielder,181,4,71,10,0,0.39,,,,,,
Cech,Slovakia,defender,90,0,35,2,0,0.39,,,,,,
Cha Du-Ri,South Korea,defender,270,2,105,3,0,0.39,,,,,,
Dindane,Ivory Coast,forward,170,1,66,2,0,0.39,,,,,,
Ziani,Algeria,midfielder,240,5,93,6,0,0.39,,,,,,
Patsatzoglou,Greece,midfielder,80,0,31,0,0,0.39,,,,,,
Llorente,Spain,forward,31,2,12,0,0,0.39,,,,,,
Ribery,France,midfielder,270,4,104,9,0,0.39,,,,,,
Guevara,Honduras,midfielder,156,0,60,6,0,0.38,,,,,,
